Agricultural devastation,Blight
Agricultural devastation,Crop failure
Agricultural devastation,Drought
Agricultural devastation,Famine Assault or beatings
Bounty hunting or assassination,Hire Bounty Hunters
Bounty hunting or assassination,Hire Assassin
Captivity or coercion,Bribery
Captivity or coercion,Enticement
Captivity or coercion,Eviction
Captivity or coercion,Imprisonment
Captivity or coercion,Kidnapping
Captivity or coercion,Legal intimidation
Captivity or coercion,Press gangs
Captivity or coercion,Shackling
Captivity or coercion,Slavery
Captivity or coercion,Threats or harassment
Confidence scams,Breach of contract
Confidence scams,Cheating
Confidence scams,Fast talking
Confidence scams,Fine print
Confidence scams,Fraud or swindling
Confidence scams,Quackery or tricks
Defamation,Framing
Defamation,Gossipingor slander
Defamation,Humiliation
Defamation,Libel or insults
Dueling,Wants an honerable duel
Dueling,Will cheat in duel
Execution,Beheading
Execution,Burning at the stake
Execution,Burying alive
Execution,Crucifixion
Execution,Drawing and quartering
Execution,Hanging
Execution,Impalement
Execution,Sacrifice (living)
Impersonation or disguise,Dressed as respected foreign official
Impersonation or disguise,Dresses as recently deceaced famed hero
Lying or perjury,Lying
Lying or perjury,Perjury
Magical mayhem,Hauntings
Magical mayhem,Illusions
Magical mayhem,Infernal bargains
Magical mayhem,Mind control
Magical mayhem,Petrification
Magical mayhem,Raising or animating the dead
Magical mayhem,Summoning monsters
Magical mayhem,Weather control
Murder,Assassination
Murder,Cannibalism
Murder,Dismemberment
Murder,Drowning
Murder,Electrocution
Murder,Euthanasia (involuntary)
Murder,Disease
Murder,Poisoning
Murder, Stabbing
Murder,Strangulation or suffocation
Neglect,Will not stop imminent disaster
Politics,Betrayal or treason
Politics,Conspiracy
Politics,Espionage or spying
Politics,Genocide
Politics,Oppression
Politics,Raisingtaxes
Religion,Curses
Religion,Desecration
Religion,False gods
Religion,Heresy or cults
Stalking,Follows target every wakeing hour
Theft or Property Crime,Arson
Theft or Property Crime,Blackmail or extortion
Theft or Property Crime,Burglary
Theft or Property Crime,Counterfeiting
Theft or Property Crime,Highway robbery
Theft or Property Crime,Looting
Theft or Property Crime,Mugging
Theft or Property Crime,Poaching
Theft or Property Crime,Seizing property
Theft or Property Crime,Smuggling
Torture,Acid
Torture,Blinding
Torture,Branding
Torture,Racking
Torture,Thumbscrews
Torture,Whipping
Vice,Adultery
Vice,Drugs or alcohol
Vice,Gambling
Vice,Seduction
Warfare,Ambush
Warfare,Invasion
Warfare,Massacre
Warfare,Mercenaries
Warfare,Rebellion
Warfare,Terrorism
